pair,event_type,lookback_window,session,volatility_regime,horizon_bars,mean_forward_return,median_forward_return,mean_aligned_forward_return,mean_abs_forward_return,positive_fraction,continuation_fraction,reversal_fraction,mean_mfe,mean_mae,forward_return_std,sample_count,forward_return_se,low_sample
ALL,breakout_high,24,new_york,high_vol,8,-0.00011695115,-7.7801637e-05,-0.00011695115,0.0014499461,0.47165415,0.47165415,0.52627492,0.0013958626,0.0015183004,0.0021463353,3863,3.4533072e-05,False
ALL,breakout_high,24,new_york,low_vol,1,-8.3132825e-06,-1.7273783e-05,-8.3132825e-06,0.0002677894,0.47082054,0.47082054,0.52303642,0.00028288943,0.00029524458,0.00036963681,2279,7.7428893e-06,False
ALL,breakout_high,24,new_york,low_vol,2,-1.1918843e-05,-2.5482066e-05,-1.1918843e-05,0.00036131925,0.47125932,0.47125932,0.52479158,0.00038773325,0.00040975712,0.00049918152,2279,1.04565e-05,False
ALL,breakout_high,24,new_york,low_vol,4,5.5010834e-06,-9.5395574e-06,5.5010834e-06,0.0005083642,0.48749452,0.48749452,0.5081176,0.0005430454,0.00055335688,0.00070412758,2279,1.4749564e-05,False
ALL,breakout_high,24,new_york,low_vol,8,2.5485978e-05,-4.5713763e-05,2.5485978e-05,0.00071356326,0.47257569,0.47257569,0.52566915,0.00074585752,0.0007496187,0.0010022573,2279,2.0994574e-05,False
ALL,breakout_high,24,new_york,medium_vol,1,-1.0456733e-05,-3.1462088e-05,-1.0456733e-05,0.00036417365,0.46043165,0.46043165,0.53450573,0.00036684873,0.00036822285,0.00053040901,3753,8.6580803e-06,False
ALL,breakout_high,24,new_york,medium_vol,2,-1.9305838e-05,-5.1152203e-05,-1.9305838e-05,0.00049719774,0.4601652,0.4601652,0.53717026,0.00050681081,0.00051626985,0.00072146174,3753,1.1776711e-05,False
ALL,breakout_high,24,new_york,medium_vol,4,-3.504621e-05,-7.2299319e-05,-3.504621e-05,0.00068042716,0.45243805,0.45243805,0.54596323,0.00068919284,0.00071913224,0.0009671747,3753,1.5787583e-05,False
ALL,breakout_high,24,new_york,medium_vol,8,-3.4642203e-05,-8.6274896e-05,-3.4642203e-05,0.00090628545,0.45483613,0.45483613,0.54463096,0.00091827148,0.00096390806,0.0012806789,3753,2.0905039e-05,False
ALL,breakout_high,24,new_york,unknown,1,-5.4598943e-05,-2.5856401e-05,-5.4598943e-05,0.00041002848,0.43636364,0.43636364,0.56363636,0.00040744331,0.00042010685,0.00060203039,55,8.1177761e-05,False
