pair,event_type,lookback_window,session,session_subcontext,transition_context,horizon_bars,mean_forward_return,median_forward_return,mean_aligned_forward_return,mean_abs_forward_return,positive_fraction,continuation_fraction,reversal_fraction,mean_mfe,mean_mae,forward_return_std,sample_count,forward_return_se,low_sample
ALL,breakout_high,24,new_york,late_session,london_to_new_york_boundary,8,-0.00058442116,-0.00013623584,-0.00058442116,0.00081434103,0.28571429,0.28571429,0.71428571,0.00071893842,0.0020641586,0.0011024148,7,0.00041667364,True
ALL,breakout_high,24,new_york,mid_session,inside_new_york,1,-1.8844112e-05,-3.040214e-05,-1.8844112e-05,0.00043837799,0.46537678,0.46537678,0.52953157,0.00044293529,0.00045020759,0.00065403559,3928,1.0435557e-05,False
ALL,breakout_high,24,new_york,mid_session,inside_new_york,2,-2.6716732e-05,-2.7332905e-05,-2.6716732e-05,0.00060466126,0.47886965,0.47886965,0.51909369,0.00061113514,0.00063074101,0.00091201721,3928,1.4551819e-05,False
ALL,breakout_high,24,new_york,mid_session,inside_new_york,4,-3.8685768e-05,-2.7815507e-05,-3.8685768e-05,0.00081984687,0.48497963,0.48497963,0.51323829,0.00082324441,0.00085007522,0.0012277599,3928,1.9589697e-05,False
ALL,breakout_high,24,new_york,mid_session,inside_new_york,8,-5.4485616e-05,-4.6766334e-05,-5.4485616e-05,0.0010635335,0.47861507,0.47861507,0.52011202,0.0010590048,0.0011194103,0.0015537129,3928,2.4790486e-05,False
ALL,breakout_high,24,new_york,mid_session,london_to_new_york_boundary,1,-0.00031657897,-0.00012168613,-0.00031657897,0.00037060581,0.16666667,0.16666667,0.83333333,0.00022919248,0.00075189196,0.00055501876,6,0.00022658546,True
ALL,breakout_high,24,new_york,mid_session,london_to_new_york_boundary,2,-0.00039043106,-0.00030623093,-0.00039043106,0.00079485658,0.5,0.5,0.5,0.00048659534,0.0011122142,0.0010034961,6,0.00040967558,True
ALL,breakout_high,24,new_york,mid_session,london_to_new_york_boundary,4,-0.0010177335,-0.0010596978,-0.0010177335,0.0012064716,0.16666667,0.16666667,0.83333333,0.00063996196,0.0016078965,0.0011689733,6,0.00047723136,True
ALL,breakout_high,24,new_york,mid_session,london_to_new_york_boundary,8,-0.00030772776,-0.00058731221,-0.00030772776,0.00067027248,0.33333333,0.33333333,0.66666667,0.00063996196,0.0017334782,0.00070132047,6,0.00028631288,True
ALL,breakout_high,48,asia,early_session,inside_asia,1,3.7859307e-07,-1.8392496e-05,3.7859307e-07,0.00033648441,0.47019053,0.47019053,0.52427781,0.00036180756,0.00033414635,0.00050901171,1627,1.2619263e-05,False
ALL,breakout_high,48,asia,early_session,inside_asia,2,-1.7135403e-05,-5.8758938e-05,-1.7135403e-05,0.00045937627,0.45482483,0.45482483,0.54394591,0.00049198686,0.00047111698,0.00069916411,1627,1.7333464e-05,False
