pair,event_type,lookback_window,session,range_regime,horizon_bars,mean_forward_return,median_forward_return,mean_aligned_forward_return,mean_abs_forward_return,positive_fraction,continuation_fraction,reversal_fraction,mean_mfe,mean_mae,forward_return_std,sample_count,forward_return_se,low_sample
ALL,breakout_high,48,asia,normal,4,-0.00014713542,-0.00011217113,-0.00014713542,0.00055527421,0.40899582,0.40899582,0.58786611,0.00049760472,0.00066677338,0.00077228471,1912,1.766174e-05,False
ALL,breakout_high,48,asia,normal,8,-0.00020823987,-0.0001568361,-0.00020823987,0.00080888911,0.41004184,0.41004184,0.58786611,0.00071261017,0.00098563884,0.0011092579,1912,2.5368137e-05,False
ALL,breakout_high,48,asia,unknown,1,-5.1654183e-05,-3.3150881e-05,-5.1654183e-05,0.00024841164,0.47619048,0.47619048,0.52380952,0.00016437344,0.00025859598,0.00035118731,21,7.6635355e-05,True
ALL,breakout_high,48,asia,unknown,2,-0.00010738416,-0.00014640509,-0.00010738416,0.00039842954,0.38095238,0.38095238,0.61904762,0.00026296056,0.00035773489,0.00051564607,21,0.0001125232,True
ALL,breakout_high,48,asia,unknown,4,-0.00025802699,-0.00010168667,-0.00025802699,0.00057669679,0.42857143,0.42857143,0.57142857,0.00036494837,0.00058897783,0.00069882615,21,0.00015249637,True
ALL,breakout_high,48,asia,unknown,8,-9.2208206e-05,-0.00027062759,-9.2208206e-05,0.00086391906,0.38095238,0.38095238,0.61904762,0.00062748597,0.00079721214,0.0010039039,21,0.00021906979,True
ALL,breakout_high,48,london,compressed,1,-0.00010126247,-8.486623e-05,-0.00010126247,0.00033099678,0.39562924,0.39562924,0.5990957,0.00028753986,0.00039552732,0.00044054879,1327,1.2093682e-05,False
ALL,breakout_high,48,london,compressed,2,-0.00017799875,-0.00017364468,-0.00017799875,0.00044927707,0.34815373,0.34815373,0.64732479,0.00038109913,0.00057349042,0.00059656025,1327,1.6376415e-05,False
ALL,breakout_high,48,london,compressed,4,-0.00026827935,-0.0002284138,-0.00026827935,0.00061934048,0.34664657,0.34664657,0.65109269,0.00050589894,0.00082205766,0.00084873935,1327,2.3299086e-05,False
ALL,breakout_high,48,london,compressed,8,-0.00038203548,-0.00034107368,-0.00038203548,0.00083414069,0.32403919,0.32403919,0.67370008,0.00067544908,0.0011810102,0.0010811743,1327,2.9679751e-05,False
ALL,breakout_high,48,london,expanded,1,6.6175693e-05,2.7153253e-05,6.6175693e-05,0.00051300171,0.5225416,0.5225416,0.47594554,0.00056060982,0.00047091674,0.0007829825,3305,1.3619662e-05,False
ALL,breakout_high,48,london,expanded,2,0.00011037532,5.7586864e-05,0.00011037532,0.00070414299,0.53434191,0.53434191,0.46444781,0.00078441578,0.00064181887,0.001038664,3305,1.8067138e-05,False
ALL,breakout_high,48,london,expanded,4,0.00016112478,0.00016977437,0.00016112478,0.0010583788,0.56611195,0.56611195,0.43177005,0.0011407603,0.00093857648,0.001551009,3305,2.697917e-05,False
ALL,breakout_high,48,london,expanded,8,0.00024528983,0.00032251794,0.00024528983,0.001591399,0.5785174,0.5785174,0.42118003,0.0016750213,0.001376989,0.0022466477,3305,3.9079522e-05,False
ALL,breakout_high,48,london,normal,1,-7.1767874e-05,-6.1860697e-05,-7.1767874e-05,0.00038126512,0.43899568,0.43899568,0.55629659,0.00037534011,0.00043309392,0.00052265166,2549,1.0352075e-05,False
ALL,breakout_high,48,london,normal,2,-0.00012074383,-6.9892017e-05,-0.00012074383,0.00052725584,0.44762652,0.44762652,0.54805806,0.00050168265,0.00061990915,0.00071489153,2549,1.4159739e-05,False
ALL,breakout_high,48,london,normal,4,-0.00014389158,-9.3796232e-05,-0.00014389158,0.00072196191,0.44880345,0.44880345,0.54727344,0.00069608515,0.00087521351,0.00094137019,2549,1.8645564e-05,False
ALL,breakout_high,48,london,normal,8,-0.00019366931,-0.00012798947,-0.00019366931,0.0010305624,0.44919576,0.44919576,0.54766575,0.00099011489,0.0012466767,0.0013661221,2549,2.7058555e-05,False
ALL,breakout_high,48,london,unknown,1,-1.8641567e-05,-6.6334853e-05,-1.8641567e-05,0.00028832148,0.38888889,0.38888889,0.61111111,0.00027337229,0.00027170378,0.00037458419,18,8.8290341e-05,True
ALL,breakout_high,48,london,unknown,2,-0.00011239574,-0.00016112965,-0.00011239574,0.00039651106,0.38888889,0.38888889,0.61111111,0.00035857812,0.00037780807,0.00046438599,18,0.00010945683,True
ALL,breakout_high,48,london,unknown,4,-4.1535604e-05,0.00011698088,-4.1535604e-05,0.0004528612,0.61111111,0.61111111,0.38888889,0.00053415834,0.00054304735,0.00060145981,18,0.00014176544,True
ALL,breakout_high,48,london,unknown,8,9.015057e-05,0.00022944869,9.015057e-05,0.00090079095,0.61111111,0.61111111,0.38888889,0.00082562763,0.00084412033,0.0010919384,18,0.00025737234,True
ALL,breakout_high,48,new_york,compressed,1,-0.00010912954,-8.9803539e-05,-0.00010912954,0.00034004875,0.37725041,0.37725041,0.61620295,0.00028404279,0.00041252199,0.00048831578,1222,1.3968995e-05,False
ALL,breakout_high,48,new_york,compressed,2,-0.00017896193,-0.0001353594,-0.00017896193,0.0004617395,0.36988543,0.36988543,0.62765957,0.0003698329,0.00058693959,0.0006449798,1222,1.8450601e-05,False
ALL,breakout_high,48,new_york,compressed,4,-0.00026562937,-0.00024792657,-0.00026562937,0.00060739225,0.33551555,0.33551555,0.66284779,0.00048629955,0.00081730537,0.00081461217,1222,2.3303185e-05,False
ALL,breakout_high,48,new_york,compressed,8,-0.00036434903,-0.00030156049,-0.00036434903,0.0007966897,0.32324059,0.32324059,0.67594108,0.00063572668,0.0011232779,0.0010516369,1222,3.0083627e-05,False
ALL,breakout_high,48,new_york,expanded,1,5.0182805e-05,2.2894531e-05,5.0182805e-05,0.00049672425,0.51715686,0.51715686,0.4790305,0.00054916908,0.00046791163,0.0007570728,3672,1.2493563e-05,False
ALL,breakout_high,48,new_york,expanded,2,8.4570859e-05,5.3498704e-05,8.4570859e-05,0.00070643486,0.5332244,0.5332244,0.46486928,0.00077127838,0.00065783243,0.0010929114,3672,1.8035726e-05,False
ALL,breakout_high,48,new_york,expanded,4,0.00014173967,0.00012247207,0.00014173967,0.0009762661,0.55827887,0.55827887,0.43927015,0.0010674228,0.00089766543,0.0014689348,3672,2.4241036e-05,False
ALL,breakout_high,48,new_york,expanded,8,0.00019858219,0.00019843165,0.00019858219,0.0013373127,0.55882353,0.55882353,0.44008715,0.0014365628,0.0011786841,0.0019590637,3672,3.2329369e-05,False
ALL,breakout_high,48,new_york,normal,1,-5.0723279e-05,-4.7963938e-05,-5.0723279e-05,0.00038731569,0.44059406,0.44059406,0.55085509,0.00036814815,0.0004237735,0.00054956551,2222,1.1658628e-05,False
ALL,breakout_high,48,new_york,normal,2,-0.00010949092,-7.0395373e-05,-0.00010949092,0.0005401286,0.44284428,0.44284428,0.55445545,0.00049528845,0.00061576425,0.0007734951,2222,1.6409129e-05,False
ALL,breakout_high,48,new_york,normal,4,-0.00019153497,-0.00015123621,-0.00019153497,0.0007219663,0.41314131,0.41314131,0.58505851,0.00065655441,0.00086361754,0.0010108859,2222,2.1445201e-05,False
ALL,breakout_high,48,new_york,normal,8,-0.00027430201,-0.00020225977,-0.00027430201,0.00093832097,0.409991,0.409991,0.58955896,0.00083808343,0.0011669905,0.0013218839,2222,2.8042793e-05,False
ALL,breakout_high,48,new_york,unknown,1,-0.00024796914,-9.3053346e-05,-0.00024796914,0.00033917874,0.27272727,0.27272727,0.72727273,0.00024793967,0.00054659312,0.00046263439,11,0.00013948952,True
ALL,breakout_high,48,new_york,unknown,2,-0.00029151251,-0.00027951658,-0.00029151251,0.00048086691,0.36363636,0.36363636,0.63636364,0.00036152448,0.00073529525,0.00049351838,11,0.00014880139,True
ALL,breakout_high,48,new_york,unknown,4,-0.00035887887,-0.00055603853,-0.00035887887,0.00086771833,0.27272727,0.27272727,0.72727273,0.00051215774,0.0010055005,0.00092557046,11,0.00027906999,True
ALL,breakout_high,48,new_york,unknown,8,-0.00065525037,-0.00055091768,-0.00065525037,0.00097617265,0.18181818,0.18181818,0.81818182,0.00058280579,0.0012546705,0.0010016057,11,0.00030199547,True
ALL,breakout_high,96,asia,compressed,1,-8.1478648e-05,-6.1522777e-05,-8.1478648e-05,0.00023736836,0.3816092,0.3816092,0.6137931,0.00021333461,0.00029779391,0.00033026727,435,1.5835103e-05,False
ALL,breakout_high,96,asia,compressed,2,-0.00011968202,-0.00011909455,-0.00011968202,0.00032961994,0.38390805,0.38390805,0.6137931,0.00028422955,0.00042694561,0.00043399854,435,2.0808637e-05,False
ALL,breakout_high,96,asia,compressed,4,-0.0002145004,-0.0002029642,-0.0002145004,0.00044973206,0.31494253,0.31494253,0.68275862,0.0003663106,0.0006167916,0.00059222052,435,2.8394801e-05,False
