pair,event_type,lookback_window,horizon_bars,mean_forward_return,median_forward_return,mean_aligned_forward_return,mean_abs_forward_return,positive_fraction,continuation_fraction,reversal_fraction,mean_mfe,mean_mae,forward_return_std,sample_count,forward_return_se,low_sample
GBPUSD,breakout_low,24,4,3.5652034e-05,7.4038285e-05,-3.5652034e-05,0.0008933088,0.53412102,0.46367049,0.53412102,0.00090852705,0.00092163385,0.00134284,9056,1.4110944e-05,False
GBPUSD,breakout_low,24,8,6.1513109e-05,6.2026768e-05,-6.1513109e-05,0.0012578329,0.52164311,0.4774735,0.52164311,0.0012774262,0.0013022978,0.0018671163,9056,1.9620188e-05,False
GBPUSD,breakout_low,48,1,2.7577912e-05,3.8515139e-05,-2.7577912e-05,0.00050489583,0.53478399,0.46267471,0.53478399,0.0005118769,0.00050841598,0.00085398512,6296,1.0762618e-05,False
GBPUSD,breakout_low,48,2,4.981811e-05,8.0087782e-05,-4.981811e-05,0.00070221811,0.54526684,0.45250953,0.54526684,0.00070669668,0.00071723738,0.0010718424,6296,1.3508234e-05,False
GBPUSD,breakout_low,48,4,3.8707289e-05,8.2681993e-05,-3.8707289e-05,0.00097896115,0.53573698,0.46251588,0.53573698,0.00099443182,0.0010089694,0.0014465524,6296,1.8230636e-05,False
GBPUSD,breakout_low,48,8,7.4839497e-05,8.4290449e-05,-7.4839497e-05,0.0013762231,0.5250953,0.47379288,0.5250953,0.0013908989,0.0014228773,0.0019980995,6296,2.5181683e-05,False
GBPUSD,breakout_low,96,1,3.4368115e-05,3.9550704e-05,-3.4368115e-05,0.00053177643,0.53667759,0.46105369,0.53667759,0.00053122215,0.00053350311,0.00094097623,3967,1.4939895e-05,False
GBPUSD,breakout_low,96,2,5.9548102e-05,8.3716427e-05,-5.9548102e-05,0.00072672808,0.54625662,0.45122259,0.54625662,0.00072834187,0.00074732289,0.0011190823,3967,1.7767688e-05,False
GBPUSD,breakout_low,96,4,3.9149596e-05,8.456442e-05,-3.9149596e-05,0.001014999,0.53440887,0.46458281,0.53440887,0.0010250236,0.0010426913,0.0014959864,3967,2.3751802e-05,False
GBPUSD,breakout_low,96,8,5.9816346e-05,8.0761093e-05,-5.9816346e-05,0.0014099272,0.52331737,0.47517015,0.52331737,0.0014322951,0.0014447902,0.0020685584,3967,3.2842536e-05,False
GBPUSD,sweep_high,24,1,1.8011559e-06,-4.0014245e-06,1.8011559e-06,0.00041063716,0.48986984,0.48986984,0.50458404,0.00041372426,0.00040758887,0.0006628659,8835,7.052164e-06,False
GBPUSD,sweep_high,24,2,-7.015434e-06,-1.4516738e-05,-7.015434e-06,0.00058407066,0.4844369,0.4844369,0.51205433,0.00058900713,0.00058853014,0.0009223153,8835,9.8124201e-06,False
GBPUSD,sweep_high,24,4,-7.1684194e-06,-1.1472714e-05,-7.1684194e-06,0.00081385474,0.49202037,0.49202037,0.50582909,0.00083377146,0.00083183339,0.0012538437,8835,1.3339517e-05,False
GBPUSD,sweep_high,24,8,2.3260818e-06,-1.5761932e-05,2.3260818e-06,0.0011364269,0.49292586,0.49292586,0.50503679,0.001177433,0.0011663301,0.0017428998,8835,1.8542536e-05,False
GBPUSD,sweep_high,48,1,1.1056621e-05,-3.6000619e-06,1.1056621e-05,0.00045075247,0.49439662,0.49439662,0.50056846,0.000456238,0.00043910771,0.00074754922,6157,9.5269792e-06,False
GBPUSD,sweep_high,48,2,9.3260027e-07,-1.8160752e-05,9.3260027e-07,0.00063726299,0.48221536,0.48221536,0.51404905,0.00064938177,0.00063232103,0.0010157152,6157,1.2944562e-05,False
