pair,session_transition,prior_volatility_regime,next_regime,transition_frequency,avg_next_session_return,avg_next_session_abs_return,next_session_continuation_probability,sample_count,transition_probability,low_sample
USDJPY,asia_to_london,low_vol,low_vol,425,0.0002863338853205463,0.001120361277534808,0.5647058823529412,788,0.5393401015228426,False
USDJPY,asia_to_london,low_vol,medium_vol,195,0.00023181863524759623,0.0016990588511984126,0.5384615384615384,788,0.24746192893401014,False
USDJPY,asia_to_london,low_vol,high_vol,168,-0.0004769600864553035,0.0027986410337371872,0.5833333333333334,788,0.2131979695431472,False
USDJPY,asia_to_london,medium_vol,low_vol,118,0.0004344188308035274,0.0011626449996160865,0.6101694915254238,549,0.21493624772313297,False
USDJPY,asia_to_london,medium_vol,medium_vol,218,2.4443874264668716e-05,0.001765181947613355,0.536697247706422,549,0.3970856102003643,False
USDJPY,asia_to_london,medium_vol,high_vol,213,0.00017817171772685752,0.0026691157629073438,0.5633802816901409,549,0.3879781420765027,False
USDJPY,asia_to_london,high_vol,low_vol,39,5.9096487293011977e-05,0.0010238524070879944,0.5384615384615384,475,0.08210526315789474,False
USDJPY,asia_to_london,high_vol,medium_vol,112,0.00014665265935103603,0.0017688240475100085,0.5803571428571429,475,0.23578947368421052,False
USDJPY,asia_to_london,high_vol,high_vol,324,-0.0001231153505609166,0.0030107353310960317,0.5802469135802469,475,0.6821052631578948,False
USDJPY,london_to_new_york,low_vol,low_vol,258,0.00109772015467928,0.0025822222877547435,0.4806201550387597,582,0.44329896907216493,False
USDJPY,london_to_new_york,low_vol,medium_vol,186,0.0005607475224456592,0.003270447510486439,0.4946236559139785,582,0.31958762886597936,False
USDJPY,london_to_new_york,low_vol,high_vol,138,-0.0019723766659920875,0.004867129191682224,0.5289855072463768,582,0.23711340206185566,False
USDJPY,london_to_new_york,medium_vol,low_vol,179,0.0013938364321445659,0.002709630218192876,0.5251396648044693,525,0.34095238095238095,False
USDJPY,london_to_new_york,medium_vol,medium_vol,164,0.000424789167568077,0.0028785931288474956,0.47560975609756095,525,0.31238095238095237,False
USDJPY,london_to_new_york,medium_vol,high_vol,182,-0.0009385007093647442,0.004898431711031542,0.5384615384615384,525,0.3466666666666667,False
USDJPY,london_to_new_york,high_vol,low_vol,147,0.0012227797141864155,0.0028076402818259004,0.5238095238095238,704,0.20880681818181818,False
USDJPY,london_to_new_york,high_vol,medium_vol,226,0.0008588285355627425,0.0034984767932096927,0.4557522123893805,704,0.3210227272727273,False
USDJPY,london_to_new_york,high_vol,high_vol,331,-0.000566081048542479,0.005510577336239423,0.5558912386706949,704,0.47017045454545453,False
