scope,pair,volatility_regime,session,horizon_sessions,mean_forward_return,median_forward_return,mean_abs_forward_return,positive_return_fraction,forward_return_std,sample_count,forward_return_se,low_sample
pair_regime_session,EURUSD,low_vol,london,1,-0.00047128974032315007,-0.00028081610854094823,0.004267259312812576,0.45614035087719296,0.005746174595853496,114,0.0005381785597347559,False
pair_regime_session,EURUSD,low_vol,london,2,-0.00017083873277147594,-4.178696656687788e-05,0.003009305196529078,0.49122807017543857,0.004200350227963528,114,0.0003933988427184574,False
pair_regime_session,EURUSD,low_vol,london,4,-0.00030549368209295313,0.0003537404871126739,0.004960723055984422,0.5087719298245614,0.006261169390333892,114,0.0005864122414896329,False
pair_regime_session,EURUSD,low_vol,london,8,-0.00041205078118554015,-0.0003764803405652788,0.005934380964022788,0.47368421052631576,0.007432626948224664,114,0.0006961292942486967,False
pair_regime_session,EURUSD,low_vol,new_york,1,-2.5920540033706165e-05,8.423996596704448e-05,0.002517642172249821,0.5121495327102804,0.003333882169394984,535,0.0001441362953078268,False
pair_regime_session,EURUSD,low_vol,new_york,2,-8.648223145555792e-05,-4.7067683328744895e-05,0.0013089869201119036,0.4822429906542056,0.001750706446589889,535,7.568964005371246e-05,False
pair_regime_session,EURUSD,low_vol,new_york,4,1.953060575923203e-05,1.3860910384479682e-05,0.002416074124643317,0.5046728971962616,0.003750128947495836,535,0.00016213221282406094,False
pair_regime_session,EURUSD,low_vol,new_york,8,-0.00011226708096371284,-0.00018258658389428927,0.004064516917457117,0.4785046728971963,0.005469062126007078,535,0.00023644817470980454,False
pair_regime_session,EURUSD,medium_vol,asia,1,-0.00021651666636056578,-0.0002086656262381316,0.0023891398578031555,0.4621212121212121,0.003155606200490531,396,0.0001585751780779713,False
pair_regime_session,EURUSD,medium_vol,asia,2,-0.000247896114791268,-0.0003204994269706632,0.004688046397755204,0.4595959595959596,0.006056038807725911,396,0.00030432740062209264,False
pair_regime_session,EURUSD,medium_vol,asia,4,-0.0002721384808255818,-0.0001952348336452951,0.004265509565201134,0.48737373737373735,0.005494205038344285,396,0.00027609419141618477,False
pair_regime_session,EURUSD,medium_vol,asia,8,7.156627660870866e-05,-0.00029119156801602045,0.0063424481274153245,0.4823232323232323,0.00826057915753221,396,0.00041510972146309775,False
pair_regime_session,EURUSD,medium_vol,london,1,0.00023625779965070272,0.0002112543456396207,0.0037688863970058305,0.5325914149443561,0.005326074647318542,629,0.00021236450332284102,False
pair_regime_session,EURUSD,medium_vol,london,2,0.00019995824995683645,0.00010515102887983541,0.0027295438676312868,0.5182829888712241,0.003789858462953073,629,0.00015111155277444232,False
pair_regime_session,EURUSD,medium_vol,london,4,0.00014845815586301352,0.00015747038217786148,0.004798967845583862,0.5111464968152867,0.006548034349184476,628,0.00026129501665638063,False
pair_regime_session,EURUSD,medium_vol,london,8,0.00026328335316064977,9.650868348350362e-05,0.005598000949523108,0.5055821371610846,0.007370917034152472,627,0.0002943660718380712,False
