scope,pair,transition,prior_session_sign,prior_volatility_regime,continuation_prob,reversal_prob,avg_next_session_return,avg_next_session_range,sample_count,low_sample
pooled_by_prior_vol,ALL,asia_to_london,negative,low,0.494279176201373,0.505720823798627,-3.339327818996824e-05,0.003268022530310976,874,False
pooled_by_prior_vol,ALL,asia_to_london,negative,medium,0.504424778761062,0.49557522123893805,-1.831119571997879e-05,0.004122731704077514,904,False
pooled_by_prior_vol,ALL,asia_to_london,positive,high,0.5173184357541899,0.48268156424581005,-3.477922069142183e-05,0.005743654667513484,895,False
pooled_by_prior_vol,ALL,asia_to_london,positive,low,0.5174973488865323,0.4814422057264051,7.105753552803324e-06,0.003240546445948829,943,False
pooled_by_prior_vol,ALL,asia_to_london,positive,medium,0.4683406113537118,0.5316593886462883,-0.0001907197538236786,0.004091698968727066,916,False
pooled_by_prior_vol,ALL,london_to_new_york,flat,low,0.0,0.0,0.0013155421913174715,0.0037184202754585037,1,True
pooled_by_prior_vol,ALL,london_to_new_york,flat,medium,0.0,0.0,-0.0029980467917060595,0.005266838958402481,1,True
pooled_by_prior_vol,ALL,london_to_new_york,negative,high,0.7303974221267454,0.2696025778732546,-0.0034901442490962538,0.009121249767041152,931,False
pooled_by_prior_vol,ALL,london_to_new_york,negative,low,0.6321184510250569,0.36674259681093396,-0.0010778156617274944,0.004606600492876985,878,False
pooled_by_prior_vol,ALL,london_to_new_york,negative,medium,0.7041484716157205,0.29585152838427947,-0.0018553169374127918,0.005844501873628417,916,False
pooled_by_prior_vol,ALL,london_to_new_york,positive,high,0.7365470852017937,0.26345291479820626,0.003290991181412281,0.008983791360839452,892,False
pooled_by_prior_vol,ALL,london_to_new_york,positive,low,0.6822529224229543,0.31668437832093516,0.0014491103237664464,0.004558699452814867,941,False
pooled_by_prior_vol,ALL,london_to_new_york,positive,medium,0.7157079646017699,0.2831858407079646,0.00205782672045051,0.005954866597419469,904,False
