pair,session_date,fx_session_date,session,session_start,session_end,session_return,session_abs_return,session_range,session_direction,session_direction_sign,volatility_regime,range_regime,directional_efficiency_ratio,close_location_value,structural_breach_presence,breach_direction,breach_magnitude_bucket,breakout_event_count,sweep_event_count,breach_event_count
EURUSD,2023-04-05,2023-04-05,asia,2023-04-05 00:00:00+00:00,2023-04-05 06:45:00+00:00,-0.00083503306,0.00083503306,0.0020944272,down,-1,low_vol,normal,0.15136476,0.078431373,breakout,upside,large,3,5,8
EURUSD,2023-04-05,2023-04-05,london,2023-04-05 07:00:00+00:00,2023-04-05 12:45:00+00:00,0.00084486073,0.00084486073,0.0029638628,up,1,high_vol,compressed,0.079775765,0.70416025,breakout,downside,medium,4,6,10
EURUSD,2023-04-06,2023-04-06,new_york,2023-04-05 22:00:00+00:00,2023-04-06 21:45:00+00:00,0.0010773145,0.0010773145,0.0047310152,up,1,medium_vol,compressed,0.092629089,0.62984496,breakout,upside,medium,6,11,17
EURUSD,2023-04-06,2023-04-06,asia,2023-04-06 00:00:00+00:00,2023-04-06 06:45:00+00:00,-7.3373628e-05,7.3373628e-05,0.0019994314,down,-1,low_vol,normal,0.015473888,0.80733945,breakout,downside,large,6,0,6
EURUSD,2023-04-06,2023-04-06,london,2023-04-06 07:00:00+00:00,2023-04-06 12:45:00+00:00,-0.00092181961,0.00092181961,0.0027562865,down,-1,high_vol,compressed,0.087964989,0.088186356,breakout,upside,large,3,6,9
EURUSD,2023-04-07,2023-04-07,new_york,2023-04-06 22:00:00+00:00,2023-04-07 20:45:00+00:00,-0.0010120484,0.0010120484,0.0024911961,down,-1,low_vol,compressed,0.11724138,0.51102941,breakout,downside,small,1,1,2
EURUSD,2023-04-07,2023-04-07,asia,2023-04-07 00:00:00+00:00,2023-04-07 06:45:00+00:00,-0.00013736704,0.00013736704,0.0011630409,down,-1,low_vol,compressed,0.037220844,0.52755906,breakout,downside,large,2,1,3
EURUSD,2023-04-07,2023-04-07,london,2023-04-07 07:00:00+00:00,2023-04-07 12:45:00+00:00,-0.0013280577,0.0013280577,0.0041673536,down,-1,medium_vol,compressed,0.24006623,0.6021978,breakout,downside,large,3,5,8
EURUSD,2023-04-09,2023-04-09,new_york,2023-04-09 21:00:00+00:00,2023-04-09 21:45:00+00:00,-6.8788091e-05,6.8788091e-05,0.00049068839,down,-1,low_vol,compressed,0.38461538,0.14953271,none,none,none,0,0,0
EURUSD,2023-04-10,2023-04-10,new_york,2023-04-09 22:00:00+00:00,2023-04-10 21:45:00+00:00,-0.0042085188,0.0042085188,0.0075322401,down,-1,low_vol,expanded,0.27818182,0.35423007,breakout,downside,medium,8,12,20
EURUSD,2023-04-10,2023-04-10,asia,2023-04-10 00:00:00+00:00,2023-04-10 06:45:00+00:00,-0.00076512146,0.00076512146,0.0021670805,down,-1,low_vol,normal,0.14509123,0.58985201,breakout,downside,large,5,3,8
EURUSD,2023-04-10,2023-04-10,london,2023-04-10 07:00:00+00:00,2023-04-10 12:45:00+00:00,-0.005139797,0.005139797,0.006428185,down,-1,high_vol,normal,0.472,0.02639087,breakout,downside,large,12,5,17
EURUSD,2023-04-11,2023-04-11,new_york,2023-04-10 22:00:00+00:00,2023-04-11 21:45:00+00:00,0.0047143318,0.0047143318,0.0062428065,up,1,low_vol,normal,0.35729239,0.75958702,breakout,upside,medium,5,7,12
EURUSD,2023-04-11,2023-04-11,asia,2023-04-11 00:00:00+00:00,2023-04-11 06:45:00+00:00,0.0014168932,0.0014168932,0.0027923837,up,1,low_vol,normal,0.2100955,0.56342669,breakout,upside,large,11,12,23
EURUSD,2023-04-11,2023-04-11,london,2023-04-11 07:00:00+00:00,2023-04-11 12:45:00+00:00,0.0025403563,0.0025403563,0.0039690196,up,1,medium_vol,compressed,0.25901639,0.65740741,sweep,upside,large,7,13,20
EURUSD,2023-04-12,2023-04-12,new_york,2023-04-11 22:00:00+00:00,2023-04-12 21:45:00+00:00,0.007368069,0.007368069,0.0081103744,up,1,medium_vol,expanded,0.42449842,0.90847458,sweep,upside,large,4,10,14
EURUSD,2023-04-12,2023-04-12,asia,2023-04-12 00:00:00+00:00,2023-04-12 06:45:00+00:00,0.00093894993,0.00093894993,0.0020656899,up,1,low_vol,normal,0.12852665,0.52549889,breakout,upside,large,8,7,15
EURUSD,2023-04-12,2023-04-12,london,2023-04-12 07:00:00+00:00,2023-04-12 12:45:00+00:00,0.003418248,0.003418248,0.0065756659,up,1,high_vol,expanded,0.32520679,0.6388309,breakout,upside,large,3,0,3
EURUSD,2023-04-13,2023-04-13,new_york,2023-04-12 22:00:00+00:00,2023-04-13 21:45:00+00:00,0.0049352953,0.0049352953,0.0071141031,up,1,low_vol,normal,0.33210897,0.72890026,breakout,upside,large,3,6,9
EURUSD,2023-04-13,2023-04-13,asia,2023-04-13 00:00:00+00:00,2023-04-13 06:45:00+00:00,-0.0014276945,0.0014276945,0.0025689408,down,-1,low_vol,normal,0.21927374,0.15221239,breakout,upside,large,7,5,12
EURUSD,2023-04-13,2023-04-13,london,2023-04-13 07:00:00+00:00,2023-04-13 12:45:00+00:00,0.0061742448,0.0061742448,0.0066068062,up,1,high_vol,expanded,0.57555178,0.93521709,breakout,upside,large,6,6,12
EURUSD,2023-04-14,2023-04-14,new_york,2023-04-13 22:00:00+00:00,2023-04-14 20:45:00+00:00,-0.0047209737,0.0047209737,0.0071968823,down,-1,medium_vol,normal,0.34801468,0.27672956,breakout,downside,large,15,9,24
EURUSD,2023-04-14,2023-04-14,asia,2023-04-14 00:00:00+00:00,2023-04-14 06:45:00+00:00,0.0013708112,0.0013708112,0.0024385058,up,1,low_vol,normal,0.19637071,0.66975881,breakout,upside,large,5,7,12
EURUSD,2023-04-14,2023-04-14,london,2023-04-14 07:00:00+00:00,2023-04-14 12:45:00+00:00,-0.0029276094,0.0029276094,0.0050103686,down,-1,high_vol,normal,0.29032258,0.28944995,breakout,downside,large,5,5,10
EURUSD,2023-04-16,2023-04-16,new_york,2023-04-16 21:00:00+00:00,2023-04-16 21:45:00+00:00,0.00030935245,0.00030935245,0.00051862029,up,1,low_vol,compressed,0.44155844,0.59649123,none,none,none,0,0,0
EURUSD,2023-04-17,2023-04-17,new_york,2023-04-16 22:00:00+00:00,2023-04-17 21:45:00+00:00,-0.0061575123,0.0061575123,0.0078219506,down,-1,medium_vol,expanded,0.47342657,0.20639535,breakout,downside,large,12,4,16
