pair,lookback_window,event_type,context_type,context_value,horizon_bars,event_frequency_per_1000_bars,mean_forward_return,reversal_probability,sample_count,bars_observed,low_sample
EURUSD,96,sweep_low,session,new_york,4,23.709483793517407,-1.8108772558748196e-05,0.5079113924050633,1896,79968,False
EURUSD,96,sweep_low,session,new_york,8,23.709483793517407,2.0306336521230842e-05,0.5168776371308017,1896,79968,False
GBPUSD,24,sweep_high,session,asia,1,55.240820967204435,-5.155869167916244e-06,0.5113555713271823,2818,51013,False
GBPUSD,24,sweep_high,session,asia,2,55.240820967204435,-1.2774623200055219e-05,0.518097941802697,2818,51013,False
GBPUSD,24,sweep_high,session,asia,4,55.240820967204435,-9.047156612841868e-06,0.5007097232079489,2818,51013,False
GBPUSD,24,sweep_high,session,asia,8,55.240820967204435,-1.9758720710050768e-05,0.5088715400993612,2818,51013,False
GBPUSD,24,sweep_high,session,london,1,67.90618767051056,6.516017063871513e-06,0.49831195138419987,2962,43619,False
GBPUSD,24,sweep_high,session,london,2,67.90618767051056,-1.3430922278762196e-05,0.5006752194463201,2962,43619,False
GBPUSD,24,sweep_high,session,london,4,67.90618767051056,-2.301383872738068e-05,0.5027008777852802,2962,43619,False
GBPUSD,24,sweep_high,session,london,8,67.90618767051056,-3.117523118292291e-05,0.4989871708305199,2962,43619,False
GBPUSD,24,sweep_high,session,new_york,1,38.403519798868636,3.647138894307306e-06,0.5044189852700491,3055,79550,False
GBPUSD,24,sweep_high,session,new_york,2,38.403519798868636,4.517158872287377e-06,0.5175122749590835,3055,79550,False
GBPUSD,24,sweep_high,session,new_york,4,38.403519798868636,9.92762433000226e-06,0.5135842880523731,3055,79550,False
GBPUSD,24,sweep_high,session,new_york,8,38.403519798868636,5.517906471568436e-05,0.5073649754500819,3055,79550,False
GBPUSD,24,sweep_low,session,asia,1,56.20136043753553,3.2646919351720637e-06,0.5273805371468434,2867,51013,False
GBPUSD,24,sweep_low,session,asia,2,56.20136043753553,8.083519382147862e-06,0.5106382978723404,2867,51013,False
GBPUSD,24,sweep_low,session,asia,4,56.20136043753553,1.013933959088723e-05,0.5197070108126962,2867,51013,False
GBPUSD,24,sweep_low,session,asia,8,56.20136043753553,1.259458708220883e-05,0.5224973840251134,2867,51013,False
GBPUSD,24,sweep_low,session,london,1,70.08413764643848,-1.8756132980774973e-05,0.5008177952240759,3057,43619,False
