pair,lookback_window,event_type,context_type,context_value,horizon_bars,event_frequency_per_1000_bars,mean_forward_return,reversal_probability,sample_count,bars_observed,low_sample
GBPUSD,24,sweep_low,volatility_regime,high_vol,4,54.51921723215543,-4.876290535607186e-05,0.4854744996772111,3098,56824,False
GBPUSD,24,sweep_low,volatility_regime,high_vol,8,54.51921723215543,-7.039917556408554e-05,0.49967721110393803,3098,56824,False
GBPUSD,24,sweep_low,volatility_regime,low_vol,1,50.273531636440396,5.141515448686305e-06,0.5199440167949615,2858,56849,False
GBPUSD,24,sweep_low,volatility_regime,low_vol,2,50.273531636440396,1.1697395041384487e-05,0.5118964310706788,2858,56849,False
GBPUSD,24,sweep_low,volatility_regime,low_vol,4,50.273531636440396,1.0880284701298565e-05,0.519594121763471,2858,56849,False
GBPUSD,24,sweep_low,volatility_regime,low_vol,8,50.273531636440396,9.197858779133847e-06,0.5178446466060181,2858,56849,False
GBPUSD,24,sweep_low,volatility_regime,medium_vol,1,48.36353255302356,-4.58514349183704e-06,0.5069444444444444,2880,59549,False
GBPUSD,24,sweep_low,volatility_regime,medium_vol,2,48.36353255302356,-1.6001092606888942e-05,0.5059027777777778,2880,59549,False
GBPUSD,24,sweep_low,volatility_regime,medium_vol,4,48.36353255302356,-3.136565852139336e-05,0.4930555555555556,2880,59549,False
GBPUSD,24,sweep_low,volatility_regime,medium_vol,8,48.36353255302356,-2.617689453429989e-05,0.5003472222222223,2880,59549,False
GBPUSD,24,sweep_low,volatility_regime,unknown,1,37.5,-1.064551095675552e-06,0.5555555555555556,36,960,False
GBPUSD,24,sweep_low,volatility_regime,unknown,2,37.5,0.0001828725628709396,0.6111111111111112,36,960,False
GBPUSD,24,sweep_low,volatility_regime,unknown,4,37.5,0.00011274900918097234,0.5277777777777778,36,960,False
GBPUSD,24,sweep_low,volatility_regime,unknown,8,37.5,-9.658623710750764e-06,0.4444444444444444,36,960,False
GBPUSD,48,sweep_high,volatility_regime,high_vol,1,41.12698859636773,2.0763740552794076e-05,0.5062045357295678,2337,56824,False
GBPUSD,48,sweep_high,volatility_regime,high_vol,2,41.12698859636773,-1.2404504124638034e-06,0.5169020111253744,2337,56824,False
GBPUSD,48,sweep_high,volatility_regime,high_vol,4,41.12698859636773,-2.7774205710379238e-05,0.5087719298245614,2337,56824,False
GBPUSD,48,sweep_high,volatility_regime,high_vol,8,41.12698859636773,-5.119784385494151e-05,0.5126230209670518,2337,56824,False
GBPUSD,48,sweep_high,volatility_regime,low_vol,1,29.18257137328713,-6.948984750032118e-06,0.5033152501506932,1659,56849,False
GBPUSD,48,sweep_high,volatility_regime,low_vol,2,29.18257137328713,-2.2864071486451094e-05,0.5262206148282098,1659,56849,False
GBPUSD,48,sweep_high,volatility_regime,low_vol,4,29.18257137328713,-3.157821097041698e-05,0.5111512959614225,1659,56849,False
GBPUSD,48,sweep_high,volatility_regime,low_vol,8,29.18257137328713,-2.2216249743192844e-05,0.5171790235081374,1659,56849,False
GBPUSD,48,sweep_high,volatility_regime,medium_vol,1,35.600933684864565,1.2862761402319794e-05,0.49386792452830186,2120,59549,False
GBPUSD,48,sweep_high,volatility_regime,medium_vol,2,35.600933684864565,2.174719374822973e-05,0.4995283018867924,2120,59549,False
GBPUSD,48,sweep_high,volatility_regime,medium_vol,4,35.600933684864565,6.542630723420503e-05,0.49433962264150944,2120,59549,False
GBPUSD,48,sweep_high,volatility_regime,medium_vol,8,35.600933684864565,6.750083346926549e-05,0.4910377358490566,2120,59549,False
GBPUSD,48,sweep_high,volatility_regime,unknown,1,42.708333333333336,9.292844941581297e-05,0.4146341463414634,41,960,False
GBPUSD,48,sweep_high,volatility_regime,unknown,2,42.708333333333336,1.142429997640806e-05,0.6097560975609756,41,960,False
GBPUSD,48,sweep_high,volatility_regime,unknown,4,42.708333333333336,0.0001334003178884665,0.5365853658536586,41,960,False
GBPUSD,48,sweep_high,volatility_regime,unknown,8,42.708333333333336,0.0001141308129288323,0.5609756097560976,41,960,False
GBPUSD,48,sweep_low,volatility_regime,high_vol,1,44.136280444882445,-2.2529665982228358e-06,0.50518341307815,2508,56824,False
GBPUSD,48,sweep_low,volatility_regime,high_vol,2,44.136280444882445,-1.962682881837182e-05,0.5011961722488039,2508,56824,False
GBPUSD,48,sweep_low,volatility_regime,high_vol,4,44.136280444882445,-6.210357207275363e-05,0.49003189792663476,2508,56824,False
GBPUSD,48,sweep_low,volatility_regime,high_vol,8,44.136280444882445,-5.5794980872522576e-05,0.50518341307815,2508,56824,False
GBPUSD,48,sweep_low,volatility_regime,low_vol,1,27.44111593871484,9.303644576981744e-06,0.5237179487179487,1560,56849,False
GBPUSD,48,sweep_low,volatility_regime,low_vol,2,27.44111593871484,1.8147358503850847e-05,0.5294871794871795,1560,56849,False
GBPUSD,48,sweep_low,volatility_regime,low_vol,4,27.44111593871484,-1.037068452666387e-06,0.5173076923076924,1560,56849,False
GBPUSD,48,sweep_low,volatility_regime,low_vol,8,27.44111593871484,7.561822900626388e-06,0.5256410256410257,1560,56849,False
GBPUSD,48,sweep_low,volatility_regime,medium_vol,1,34.62694587650506,-1.6053168381694344e-05,0.498545101842871,2062,59549,False
GBPUSD,48,sweep_low,volatility_regime,medium_vol,2,34.62694587650506,-2.9400703710217874e-05,0.502909796314258,2062,59549,False
GBPUSD,48,sweep_low,volatility_regime,medium_vol,4,34.62694587650506,-4.871865741477895e-05,0.489815712900097,2062,59549,False
GBPUSD,48,sweep_low,volatility_regime,medium_vol,8,34.62694587650506,-4.635808922506676e-05,0.49369544131910764,2062,59549,False
GBPUSD,48,sweep_low,volatility_regime,unknown,1,28.125,-6.668236224774815e-05,0.4444444444444444,27,960,True
GBPUSD,48,sweep_low,volatility_regime,unknown,2,28.125,0.00011588701754643891,0.5185185185185185,27,960,True
GBPUSD,48,sweep_low,volatility_regime,unknown,4,28.125,-5.5822701575740565e-05,0.48148148148148145,27,960,True
GBPUSD,48,sweep_low,volatility_regime,unknown,8,28.125,-0.00016330306889263905,0.37037037037037035,27,960,True
GBPUSD,96,sweep_high,volatility_regime,high_vol,1,26.02773475996058,1.5550815896788745e-05,0.5057471264367817,1479,56824,False
GBPUSD,96,sweep_high,volatility_regime,high_vol,2,26.02773475996058,-3.500200852572054e-05,0.5253549695740365,1479,56824,False
GBPUSD,96,sweep_high,volatility_regime,high_vol,4,26.02773475996058,-4.6771184270014276e-05,0.5070993914807302,1479,56824,False
GBPUSD,96,sweep_high,volatility_regime,high_vol,8,26.02773475996058,-9.317599769828433e-05,0.5226504394861393,1479,56824,False
GBPUSD,96,sweep_high,volatility_regime,low_vol,1,15.936955795176695,-4.626669192700555e-06,0.5033112582781457,906,56849,False
GBPUSD,96,sweep_high,volatility_regime,low_vol,2,15.936955795176695,-2.2328165397509193e-05,0.5320088300220751,906,56849,False
