pair,lookback_window,event_class,event_side,horizon_bars,mean_forward_return,mean_abs_forward_return,continuation_probability,reversal_probability,sample_count,low_sample
USDJPY,96,sweep,low,2,1.7156776838665304e-05,0.0006756280665523158,0.4691623197299785,0.5268487266032525,3259,False
USDJPY,96,sweep,low,4,3.310554467641169e-05,0.0009317176613721373,0.46578705124271247,0.5323718932187788,3259,False
USDJPY,96,sweep,low,8,4.141982331698321e-05,0.0012150506299593792,0.46670757901196686,0.5308376802700214,3259,False
ALL,24,breakout,high,1,-1.0151636929593155e-05,0.0003840641244975284,0.46466525174317636,0.5301823037221647,28132,False
ALL,24,breakout,high,2,-1.7171402486781536e-05,0.0005302736355052279,0.46889116555782673,0.5276314582025762,28132,False
ALL,24,breakout,high,4,-3.045578973681375e-05,0.0007484230374016973,0.47115104356149634,0.5262222956187822,28132,False
ALL,24,breakout,high,8,-4.10936999040845e-05,0.0010608017162328784,0.4754690472535053,0.5228287065636362,28132,False
ALL,24,breakout,low,1,1.9269631365725683e-05,0.0004344711587178964,0.4529385537552424,0.5422679487069796,25826,False
ALL,24,breakout,low,2,3.0242679198161678e-05,0.0006017531998924542,0.45585976434976255,0.5402605395542749,25826,False
ALL,24,breakout,low,4,2.5076978762238102e-05,0.0008318022720544974,0.46409243720384946,0.5337409686348867,25826,False
ALL,24,breakout,low,8,3.794532695109117e-05,0.0011580317646790236,0.47084033103707296,0.5278879900120242,25826,False
ALL,24,sweep,high,1,3.229564273249332e-06,0.0003690144353264554,0.48909431393208114,0.5046539255999684,26536,False
ALL,24,sweep,high,2,1.5746066828718983e-06,0.0005235614986399791,0.48887847229027487,0.507164163915243,26536,False
ALL,24,sweep,high,4,2.2075373718616953e-06,0.0007348583780128178,0.4918502321613721,0.5055882062599274,26536,False
ALL,24,sweep,high,8,4.026809628741157e-08,0.0010265540513905275,0.4921371245875969,0.505526505022167,26536,False
ALL,24,sweep,low,1,-1.2219854781442336e-07,0.0004046247374739457,0.4804179057830687,0.5142806723257286,25514,False
ALL,24,sweep,low,2,1.8501799402254346e-06,0.0005619759945497227,0.4802415012964296,0.5163468588938408,25514,False
ALL,24,sweep,low,4,1.0879457874906825e-06,0.0007829030088001774,0.4803640928072328,0.5172433940705262,25514,False
ALL,24,sweep,low,8,5.218762005999987e-07,0.0010825218710503429,0.4791021467599834,0.5194687988964157,25514,False
ALL,48,breakout,high,1,-1.1530062099697029e-05,0.0004041270307130722,0.46650357416278915,0.5288699350852469,19482,False
ALL,48,breakout,high,2,-2.2435868207133788e-05,0.000561273706458818,0.4690812626076431,0.5279970527082424,19482,False
ALL,48,breakout,high,4,-3.586379084203448e-05,0.0007890006667224302,0.4704804637924038,0.5270587696343155,19482,False
ALL,48,breakout,high,8,-5.269758312895215e-05,0.0011226616492686916,0.47312133536765905,0.5253935437570362,19482,False
ALL,48,breakout,low,1,2.3136483930778405e-05,0.00047283787204381497,0.44994048376518164,0.5453847420396779,17625,False
ALL,48,breakout,low,2,3.3248962604195854e-05,0.000651724812811497,0.4585027857284201,0.5374852375116536,17625,False
ALL,48,breakout,low,4,2.996569685213858e-05,0.0008946141597323062,0.46414652886873947,0.5339216620604229,17625,False
ALL,48,breakout,low,8,4.966254832448206e-05,0.0012491515338223004,0.46868734417888286,0.5299760299341209,17625,False
ALL,48,sweep,high,1,5.6577814370738144e-06,0.0003972933245891934,0.49039601781909625,0.5036602332095291,18348,False
ALL,48,sweep,high,2,3.823509137504792e-06,0.0005609033755343698,0.48830525137774955,0.5079339015459378,18348,False
ALL,48,sweep,high,4,4.867695103891718e-06,0.0007866361152006962,0.49411957762428743,0.5031549042270215,18348,False
ALL,48,sweep,high,8,-4.106519933915861e-06,0.001092599872327536,0.4921539346495549,0.5059363873961485,18348,False
ALL,48,sweep,low,1,-7.159490192451715e-06,0.0004430633891688043,0.4838181709387505,0.511148063368941,17410,False
ALL,48,sweep,low,2,-3.7983696799790186e-06,0.0006137623383004584,0.47959841474025494,0.5177629565344681,17410,False
ALL,48,sweep,low,4,-1.2828032988062221e-05,0.0008514526853536557,0.4832247372297973,0.5149424947250965,17410,False
ALL,48,sweep,low,8,-1.11403337506116e-05,0.0011728223775341405,0.4823811978156512,0.516267764818424,17410,False
ALL,96,breakout,high,1,-5.016163036482735e-06,0.0004207109792931764,0.4716022354904013,0.5236670092890289,12635,False
ALL,96,breakout,high,2,-1.4972732012868493e-05,0.0005832307427622976,0.472943117590048,0.524429626897184,12635,False
ALL,96,breakout,high,4,-2.407544288622878e-05,0.0008126067997365561,0.4738746926940687,0.5235508645386275,12635,False
ALL,96,breakout,high,8,-3.94120073033851e-05,0.001142411445843793,0.477825979131208,0.5204326668784189,12635,False
ALL,96,breakout,low,1,2.6585804883000802e-05,0.0005009480324798555,0.4515372851393236,0.5431812660359481,11225,False
ALL,96,breakout,low,2,4.082094292975e-05,0.0006825370538213735,0.4607413552548922,0.5360443105868348,11225,False
ALL,96,breakout,low,4,3.9681068202435055e-05,0.0009286093714723316,0.4628943147521156,0.5353518167579723,11225,False
ALL,96,breakout,low,8,5.693838930585387e-05,0.0012783424409632145,0.46837394924338804,0.530143279600706,11225,False
ALL,96,sweep,high,1,6.058987591082846e-06,0.0004111742103939828,0.4900984866624811,0.5045317689488972,11644,False
ALL,96,sweep,high,2,-1.1131449004524607e-06,0.0005784852764258373,0.48757450432109745,0.5092647200750362,11644,False
ALL,96,sweep,high,4,7.599016912387745e-06,0.0008071584155246994,0.4934747679524197,0.5036848741293886,11644,False
ALL,96,sweep,high,8,-6.251445302961787e-06,0.0010973352570284851,0.489042938041991,0.5092886473253065,11644,False
ALL,96,sweep,low,1,-1.1023863687813801e-05,0.00047134856487996535,0.4865071999887088,0.5081734336403099,10910,False
ALL,96,sweep,low,2,-9.898805047655825e-06,0.0006477021183360741,0.4822867680828275,0.5149006481231365,10910,False
ALL,96,sweep,low,4,-1.9036801685495256e-05,0.0008896208681039306,0.4843463919628683,0.5139082273456442,10910,False
ALL,96,sweep,low,8,-1.0318587069404393e-05,0.0012031313683026797,0.4826913009312069,0.5157958379890787,10910,False
