pair,event_type,lookback_window,horizon_bars,mean_return,median_return,mean_abs_return,positive_fraction,sample_count,low_sample
GBPUSD,breakout_low,24,1,2.3298043869345395e-05,3.149170608781029e-05,0.0004582619318766671,0.5315812720848057,9056,False
GBPUSD,breakout_low,24,2,4.26621516731646e-05,6.712483128010374e-05,0.0006400046895167684,0.5426236749116607,9056,False
GBPUSD,breakout_low,24,4,3.565203362634451e-05,7.403828543363911e-05,0.0008933087978005747,0.5341210247349824,9056,False
GBPUSD,breakout_low,24,8,6.151310913577967e-05,6.202676766000592e-05,0.0012578329463238825,0.5216431095406361,9056,False
GBPUSD,breakout_low,48,1,2.757791172077468e-05,3.85151388301504e-05,0.0005048958307242573,0.5347839898348158,6296,False
GBPUSD,breakout_low,48,2,4.981811039496534e-05,8.0087781967386e-05,0.0007022181137150001,0.545266836086404,6296,False
GBPUSD,breakout_low,48,4,3.870728853079579e-05,8.268199259165208e-05,0.0009789611524086202,0.5357369758576874,6296,False
GBPUSD,breakout_low,48,8,7.483949735062067e-05,8.429044925994415e-05,0.0013762230696671399,0.5250952986022872,6296,False
GBPUSD,breakout_low,96,1,3.4368115310792016e-05,3.955070400261471e-05,0.0005317764310716861,0.5366775901184775,3967,False
GBPUSD,breakout_low,96,2,5.954810157699615e-05,8.371642698295989e-05,0.0007267280752446276,0.5462566170910007,3967,False
GBPUSD,breakout_low,96,4,3.9149595968188185e-05,8.456441970414602e-05,0.0010149989759020077,0.5344088732039325,3967,False
GBPUSD,breakout_low,96,8,5.981634635485096e-05,8.07610925358716e-05,0.0014099272230282383,0.5233173682883792,3967,False
GBPUSD,sweep_high,24,1,1.8011559196500579e-06,-4.001424506973051e-06,0.00041063716109794655,0.48986983588002264,8835,False
GBPUSD,sweep_high,24,2,-7.0154340251965225e-06,-1.4516737798776981e-05,0.0005840706617126546,0.4844368986983588,8835,False
GBPUSD,sweep_high,24,4,-7.168419390756433e-06,-1.1472714061798361e-05,0.0008138547373342054,0.49202037351443123,8835,False
GBPUSD,sweep_high,24,8,2.326081831542157e-06,-1.5761931782287514e-05,0.0011364269196673035,0.49292586304470853,8835,False
GBPUSD,sweep_high,48,1,1.105662117436134e-05,-3.600061920928752e-06,0.0004507524703613471,0.4943966217313627,6157,False
GBPUSD,sweep_high,48,2,9.32600265604918e-07,-1.8160751709792447e-05,0.0006372629860890818,0.48221536462562936,6157,False
GBPUSD,sweep_high,48,4,4.365212542612265e-06,-1.1039111572209571e-05,0.0008828662625985913,0.4927724541172649,6157,False
GBPUSD,sweep_high,48,8,-1.4170844775102015e-06,-2.375569641801671e-05,0.0012235418049959662,0.491960370310216,6157,False
GBPUSD,sweep_high,96,1,1.09644000645549e-05,-3.962059319978094e-06,0.00046739569476999247,0.4930537352555701,3815,False
GBPUSD,sweep_high,96,2,-1.147233755435421e-05,-2.3853159947343744e-05,0.000652667675747315,0.47680209698558323,3815,False
GBPUSD,sweep_high,96,4,-1.1701896292053729e-06,-8.003201280209223e-06,0.0008932993132000522,0.4927916120576671,3815,False
GBPUSD,sweep_high,96,8,-8.55332961933807e-06,-4.7639115378259514e-05,0.001216382964453206,0.48440366972477067,3815,False
GBPUSD,sweep_low,24,1,-9.056387440906589e-07,1.1701934554023489e-05,0.0004392860795565095,0.5109332732191163,8872,False
GBPUSD,sweep_low,24,2,-8.450863368434776e-06,7.676015408285883e-06,0.0006217999451164225,0.5060865644724978,8872,False
GBPUSD,sweep_low,24,4,-2.3246816876453694e-05,0.0,0.000857734861988972,0.49909828674481516,8872,False
GBPUSD,sweep_low,24,8,-3.01562592672614e-05,1.7162037054133514e-05,0.0012071473495608145,0.5055229936880072,8872,False
GBPUSD,sweep_low,48,1,-4.2291394627244276e-06,8.009804000148592e-06,0.000478314425702682,0.5073899626441448,6157,False
GBPUSD,sweep_low,48,2,-1.273501851342936e-05,1.1006871956967697e-05,0.0006751067190508198,0.5090141302582426,6157,False
GBPUSD,sweep_low,48,4,-4.2120946902134945e-05,-3.960364670404794e-06,0.000935891968815467,0.49683287315250935,6157,False
GBPUSD,sweep_low,48,8,-3.705326151461725e-05,2.2869252670918687e-05,0.0013010742309632088,0.5059282117914569,6157,False
GBPUSD,sweep_low,96,1,-9.407183118392465e-06,7.212094471519147e-06,0.0005039054071648298,0.5039808917197452,3768,False
GBPUSD,sweep_low,96,2,-2.833366412649316e-05,7.896492995535868e-06,0.0007166172846096512,0.5071656050955414,3768,False
GBPUSD,sweep_low,96,4,-6.727616958769284e-05,-1.810911830336669e-06,0.0009770657104906338,0.4984076433121019,3768,False
GBPUSD,sweep_low,96,8,-6.461418180316463e-05,2.2953682694437886e-05,0.0013440828452636867,0.5066348195329087,3768,False
USDJPY,breakout_high,24,1,2.765125594021363e-06,-1.8423676937292855e-05,0.00037291366825279674,0.4739714525608732,9528,False
USDJPY,breakout_high,24,2,-2.0224873284792266e-06,-2.0796237997321143e-05,0.0005082392622192276,0.47858942065491183,9528,False
USDJPY,breakout_high,24,4,-2.8386660570744465e-07,-1.6589748874954148e-05,0.0007265726591720779,0.4873005877413938,9528,False
USDJPY,breakout_high,24,8,4.0380756212539445e-07,-3.295466851785724e-05,0.0010459025739871577,0.48530646515533166,9528,False
USDJPY,breakout_high,48,1,1.261833976135514e-05,-9.489241572412639e-06,0.0003788490810859419,0.48388561053109397,6609,False
USDJPY,breakout_high,48,2,4.210344064261836e-06,-1.3927447284546583e-05,0.0005191289015576647,0.4834316840671811,6609,False
USDJPY,breakout_high,48,4,1.6318125018113156e-05,-1.1743337613072303e-05,0.0007345351258621828,0.4893327280980481,6609,False
USDJPY,breakout_high,48,8,2.0517715767846906e-05,-2.0028908391206804e-05,0.001067642128281852,0.49251021334543804,6609,False
USDJPY,breakout_high,96,1,2.5944825048223488e-05,-4.567440543364536e-06,0.00038789324425362595,0.4912206473450391,4727,False
USDJPY,breakout_high,96,2,2.704653919686617e-05,-1.287360861981837e-16,0.0005279149964662527,0.49629786333826953,4727,False
USDJPY,breakout_high,96,4,4.795152880421597e-05,4.505032120900533e-06,0.0007371221635758842,0.5013750793314999,4727,False
USDJPY,breakout_high,96,8,4.460647871846352e-05,7.414739761206636e-06,0.0010689441025921484,0.5015866299978845,4727,False
USDJPY,breakout_low,24,1,6.803285869374938e-06,5.599086258626203e-05,0.0004772623467754213,0.5507170795306389,7670,False
USDJPY,breakout_low,24,2,9.386825961685799e-06,5.86851417783799e-05,0.0006528424460015003,0.5400260756192959,7670,False
USDJPY,breakout_low,24,4,5.200812548867808e-06,7.155506760321806e-05,0.000893357907544877,0.5382007822685789,7670,False
USDJPY,breakout_low,24,8,1.8643160233755007e-05,0.00010439340376655935,0.0012190468743275605,0.5366362451108214,7670,False
USDJPY,breakout_low,48,1,8.161159632431851e-06,6.058454229612375e-05,0.0005159300210644605,0.5527888446215139,5020,False
USDJPY,breakout_low,48,2,6.497781720322274e-06,5.392768689338268e-05,0.0006999018554307792,0.5336653386454183,5020,False
USDJPY,breakout_low,48,4,1.541077080392652e-05,7.690120027209867e-05,0.0009368534842924566,0.5388446215139442,5020,False
USDJPY,breakout_low,48,8,3.7854730001495796e-05,0.00011257811594237642,0.0012878918472035011,0.5376494023904382,5020,False
USDJPY,breakout_low,96,1,6.2314638788555295e-06,5.498281786941789e-05,0.000555853917699217,0.5431838699969906,3323,False
USDJPY,breakout_low,96,2,9.920746867768038e-06,4.559360595265972e-05,0.0007514336123598332,0.5269334938308757,3323,False
USDJPY,breakout_low,96,4,3.597982840346585e-05,7.762167197079556e-05,0.0009854871296378976,0.537466145049654,3323,False
USDJPY,breakout_low,96,8,5.0538083109643614e-05,0.00010893865332890265,0.0013393683279363479,0.534456816130003,3323,False
USDJPY,sweep_high,24,1,8.09120772016472e-06,-3.2929507801868197e-06,0.0003593498548610351,0.49311169304337926,8783,False
USDJPY,sweep_high,24,2,2.0273530660258605e-05,0.0,0.0005136274599291008,0.4981213708300125,8783,False
USDJPY,sweep_high,24,4,3.597844054804746e-05,-3.253175099004517e-06,0.0007247033344350845,0.49721052032335195,8783,False
USDJPY,sweep_high,24,8,3.990341328463991e-05,-8.818925413855097e-06,0.001008226136369914,0.494250256176705,8783,False
USDJPY,sweep_high,48,1,7.120153178578068e-06,0.0,0.000365951779030096,0.4948301329394387,6093,False
USDJPY,sweep_high,48,2,2.5820346527217013e-05,4.373133218902416e-06,0.0005223144315804781,0.5013950434925324,6093,False
USDJPY,sweep_high,48,4,4.313611912061853e-05,0.0,0.0007395870342078606,0.4994255703266043,6093,False
USDJPY,sweep_high,48,8,5.3149954631978965e-05,0.0,0.0010322705148576145,0.4979484654521582,6093,False
USDJPY,sweep_high,96,1,9.417937903079594e-06,0.0,0.0003669831265167909,0.49988115046351317,4207,False
USDJPY,sweep_high,96,2,3.0469955435034677e-05,1.2657667065443618e-05,0.0005271389701601611,0.5093891133824578,4207,False
USDJPY,sweep_high,96,4,5.9267913122202125e-05,9.692834087713373e-06,0.0007480814300377635,0.5039220347040646,4207,False
USDJPY,sweep_high,96,8,6.411327062481107e-05,3.6452713541206024e-06,0.0010329087106981086,0.5001188495364868,4207,False
USDJPY,sweep_low,24,1,-2.2838725719481975e-06,1.851380856299846e-05,0.00041976248409858377,0.5179453836150846,7690,False
USDJPY,sweep_low,24,2,8.579504033147597e-06,3.08386612888046e-05,0.0005805993465460645,0.524187256176853,7690,False
USDJPY,sweep_low,24,4,1.984449378493029e-05,6.181241183931546e-05,0.0008131873971039409,0.5342002600780235,7690,False
USDJPY,sweep_low,24,8,2.1747979875503935e-05,9.377334065683381e-05,0.0010802741872637937,0.5383615084525357,7690,False
USDJPY,sweep_low,48,1,-1.3724726161486398e-05,1.2352338091787444e-05,0.00046172249755020993,0.5106893106893107,5005,False
USDJPY,sweep_low,48,2,4.377350111144014e-06,4.53644351900584e-05,0.0006326013090984943,0.5298701298701298,5005,False
USDJPY,sweep_low,48,4,1.0639788707287053e-05,6.731707786186537e-05,0.0008776708608423933,0.5308691308691309,5005,False
USDJPY,sweep_low,48,8,6.927087494739995e-06,8.370334014392488e-05,0.0011654928426566276,0.5292707292707293,5005,False
USDJPY,sweep_low,96,1,-1.1106241290462727e-05,1.6900913325340732e-05,0.0005012575636456949,0.512427124884934,3259,False
USDJPY,sweep_low,96,2,1.7156776838665304e-05,4.5826783922089445e-05,0.0006756280665523158,0.5268487266032525,3259,False
USDJPY,sweep_low,96,4,3.310554467641169e-05,6.8667798922441e-05,0.0009317176613721373,0.5323718932187788,3259,False
USDJPY,sweep_low,96,8,4.141982331698321e-05,9.78811070820011e-05,0.0012150506299593792,0.5308376802700214,3259,False
ALL,breakout_high,24,1,-1.0151636929593155e-05,-2.664379453961171e-05,0.0003840641244975284,0.46466525174317636,28132,False
ALL,breakout_high,24,2,-1.7171402486781536e-05,-3.360350555803167e-05,0.0005302736355052279,0.46889116555782673,28132,False
ALL,breakout_high,24,4,-3.045578973681375e-05,-4.419151487403586e-05,0.0007484230374016973,0.47115104356149634,28132,False
ALL,breakout_high,24,8,-4.10936999040845e-05,-5.073776184014059e-05,0.0010608017162328784,0.4754690472535053,28132,False
ALL,breakout_high,48,1,-1.1530062099697029e-05,-2.6711232064812352e-05,0.0004041270307130722,0.46650357416278915,19482,False
ALL,breakout_high,48,2,-2.2435868207133788e-05,-3.5676204061933836e-05,0.000561273706458818,0.4690812626076431,19482,False
ALL,breakout_high,48,4,-3.586379084203448e-05,-4.999571748699827e-05,0.0007890006667224302,0.4704804637924038,19482,False
ALL,breakout_high,48,8,-5.269758312895215e-05,-6.473979191353887e-05,0.0011226616492686916,0.47312133536765905,19482,False
ALL,breakout_high,96,1,-5.016163036482735e-06,-2.4283389389901258e-05,0.0004207109792931764,0.4716022354904013,12635,False
ALL,breakout_high,96,2,-1.4972732012868493e-05,-3.1532898544847965e-05,0.0005832307427622976,0.472943117590048,12635,False
ALL,breakout_high,96,4,-2.407544288622878e-05,-4.9794796411857684e-05,0.0008126067997365561,0.4738746926940687,12635,False
ALL,breakout_high,96,8,-3.94120073033851e-05,-4.960315973400443e-05,0.001142411445843793,0.477825979131208,12635,False
ALL,breakout_low,24,1,1.9269631365725683e-05,4.264362802339834e-05,0.0004344711587178964,0.5422679487069796,25826,False
ALL,breakout_low,24,2,3.0242679198161678e-05,5.736889230437182e-05,0.0006017531998924542,0.5402605395542749,25826,False
ALL,breakout_low,24,4,2.5076978762238102e-05,6.472505064876126e-05,0.0008318022720544974,0.5337409686348867,25826,False
ALL,breakout_low,24,8,3.794532695109117e-05,7.539591510140538e-05,0.0011580317646790236,0.5278879900120242,25826,False
ALL,breakout_low,48,1,2.3136483930778405e-05,4.913706458661872e-05,0.00047283787204381497,0.5453847420396779,17625,False
ALL,breakout_low,48,2,3.3248962604195854e-05,5.973882591572723e-05,0.000651724812811497,0.5374852375116536,17625,False
ALL,breakout_low,48,4,2.996569685213858e-05,7.162197264449939e-05,0.0008946141597323062,0.5339216620604229,17625,False
ALL,breakout_low,48,8,4.966254832448206e-05,9.114738413992008e-05,0.0012491515338223004,0.5299760299341209,17625,False
ALL,breakout_low,96,1,2.6585804883000802e-05,4.8506343080569385e-05,0.0005009480324798555,0.5431812660359481,11225,False
ALL,breakout_low,96,2,4.082094292975e-05,5.9020183169836626e-05,0.0006825370538213735,0.5360443105868348,11225,False
ALL,breakout_low,96,4,3.9681068202435055e-05,7.863816453001681e-05,0.0009286093714723316,0.5353518167579723,11225,False
ALL,breakout_low,96,8,5.693838930585387e-05,9.0973397401164e-05,0.0012783424409632145,0.530143279600706,11225,False
ALL,sweep_high,24,1,3.229564273249332e-06,-5.425896628351534e-06,0.0003690144353264554,0.48909431393208114,26536,False
ALL,sweep_high,24,2,1.5746066828718983e-06,-9.812078746871567e-06,0.0005235614986399791,0.48887847229027487,26536,False
ALL,sweep_high,24,4,2.2075373718616953e-06,-1.0913712855863406e-05,0.0007348583780128178,0.4918502321613721,26536,False
ALL,sweep_high,24,8,4.026809628741157e-08,-1.5271727715530705e-05,0.0010265540513905275,0.4921371245875969,26536,False
ALL,sweep_high,48,1,5.6577814370738144e-06,-5.412037791849664e-06,0.0003972933245891934,0.49039601781909625,18348,False
ALL,sweep_high,48,2,3.823509137504792e-06,-1.2261437021671655e-05,0.0005609033755343698,0.48830525137774955,18348,False
ALL,sweep_high,48,4,4.867695103891718e-06,-8.123676670458407e-06,0.0007866361152006962,0.49411957762428743,18348,False
ALL,sweep_high,48,8,-4.106519933915861e-06,-1.893914060161305e-05,0.001092599872327536,0.4921539346495549,18348,False
ALL,sweep_high,96,1,6.058987591082846e-06,-7.450169732503623e-06,0.0004111742103939828,0.4900984866624811,11644,False
ALL,sweep_high,96,2,-1.1131449004524607e-06,-1.4296039979557276e-05,0.0005784852764258373,0.48757450432109745,11644,False
ALL,sweep_high,96,4,7.599016912387745e-06,-8.602063638142006e-06,0.0008071584155246994,0.4934747679524197,11644,False
ALL,sweep_high,96,8,-6.251445302961787e-06,-2.9758844422559473e-05,0.0010973352570284851,0.489042938041991,11644,False
ALL,sweep_low,24,1,-1.2219854781442336e-07,1.448200065227291e-05,0.0004046247374739457,0.5142806723257286,25514,False
ALL,sweep_low,24,2,1.8501799402254346e-06,2.0379654864304174e-05,0.0005619759945497227,0.5163468588938408,25514,False
ALL,sweep_low,24,4,1.0879457874906825e-06,3.01666004069407e-05,0.0007829030088001774,0.5172433940705262,25514,False
ALL,sweep_low,24,8,5.218762005999987e-07,4.9270551855016614e-05,0.0010825218710503429,0.5194687988964157,25514,False
ALL,sweep_low,48,1,-7.159490192451715e-06,1.1407047696580675e-05,0.0004430633891688043,0.511148063368941,17410,False
ALL,sweep_low,48,2,-3.7983696799790186e-06,2.5592036418852504e-05,0.0006137623383004584,0.5177629565344681,17410,False
ALL,sweep_low,48,4,-1.2828032988062221e-05,3.081061657384073e-05,0.0008514526853536557,0.5149424947250965,17410,False
ALL,sweep_low,48,8,-1.11403337506116e-05,4.8236841782163326e-05,0.0011728223775341405,0.516267764818424,17410,False
ALL,sweep_low,96,1,-1.1023863687813801e-05,1.1038198859112865e-05,0.00047134856487996535,0.5081734336403099,10910,False
ALL,sweep_low,96,2,-9.898805047655825e-06,2.2643437097931868e-05,0.0006477021183360741,0.5149006481231365,10910,False
ALL,sweep_low,96,4,-1.9036801685495256e-05,2.8460669824605143e-05,0.0008896208681039306,0.5139082273456442,10910,False
ALL,sweep_low,96,8,-1.0318587069404393e-05,5.140956974025702e-05,0.0012031313683026797,0.5157958379890787,10910,False
